,Player,Price
0,Richie Laryea,€0.7M
1,Serge Aurier,€0.1M
2,Alfie Harrison,€1M
3,Matz Sels,€8M
4,Adam Wharton,€21.1M
5,Joe Gauci,€1.5M
6,Theo Corbeanu,€1.5M
7,Morgan Rogers,€9.4M
8,Pablo Fornals,€8M
9,Isak Hansen-Aarøen,€0.3M
10,Daniel Muñoz,€8M
11,Daiki Hashioka,€2M
12,Hákon Rafn Valdimarsson,€3M
13,Ivo Grbic,€2.5M
14,Claudio Echeverri,€18.5M
15,Kosta Nedeljkovic,€7.6M
16,Valentín Barco,€9.2M
17,Conor Coventry,€1.2M
18,Yunus Emre Konak,€4.5M
19,Radu Drăgușin,€25M
20,Gustavo Scarpa,€5M
21,Finn Azaz,€2.9M
22,Nahuel Ferraresi,€4.3M
23,Adrian Mazilu,€3M
24,Marcelo Flores,€0.8M
25,Demarai Gray,€9.3M
26,Moussa Djenepo,€3.5M
27,Andi Zeqiri,€2.8M
28,Davinson Sánchez,€9.5M
29,Tom Cannon,€8.8M
30,Jaden Philogene,€5.8M
31,Andrew Omobamidele,€12.9M
32,Nicolás Domínguez,€10M
33,Jean-Ricner Bellegarde,€15M
34,Ross Stewart,€9.3M
35,Alex Iwobi,€25.7M
36,Ibrahim Sangaré,€35M
37,Rob Holding,€1.2M
38,Brennan Johnson,€55M
39,Odysseas Vlachodimos,€4.9M
40,Ryan Gravenberch,€40M
41,Cole Palmer,€47M
42,Callum Hudson-Odoi,€3.5M
43,Altay Bayindir,€5M
44,Keinan Davis,€2.3M
45,Matheus Nunes,€62M
46,Murillo,€12M
47,Santiago Bueno,€12M
48,Andy Irving,€1.8M
49,Dean Henderson,€17.5M
50,Steven Benda,€0.9M
51,Folarin Balogun,€30M
52,Beto,€25M
53,Carlos Baleba,€27M
54,Timothy Castagne,€13M
55,Cameron Archer,€21.6M
56,Nathan Tella,€23.3M
57,Mohammed Kudus,€43M
58,Djordje Petrovic,€16M
59,Mohamed Dräger,€0.4M
60,Noam Emeran,Free
61,Jérémy Doku,€60M
62,Aymeric Laporte,€27.5M
63,Aaron Ramsey,€16.5M
64,Hannes Delcroix,€3M
65,Konstantinos Mavropanos,€20M
66,Tyler Adams,€26.9M
67,Sergi Canós,€0.3M
68,Aleksandar Mitrović,€52.6M
69,Lewis Richards,€35K
70,Roméo Lavia,€62.1M
71,Wataru Endo,€20M
72,Jake O'Brien,€1M
73,Matej Kovar,€5M
74,James Ward-Prowse,€34.8M
75,Moisés Caicedo,€116M
76,Fred,€9.7M
77,Wilson Odobert,€12M
78,Harry Kane,€95M
79,Gustavo Hamer,€17.3M
80,Chermiti,€12.5M
81,Max Aarons,€8.1M
82,Jacob Brown,€2.9M
83,Edson Álvarez,€38M
84,Alex Scott,€23M
85,Vini Souza,€12.5M
86,Matt Turner,€8.2M
87,Sander Berge,€13.9M
88,Michal Karbownik,€2.5M
89,Nikola Vlašić,€10.6M
90,Micky van de Ven,€40M
91,Alejo Veliz,€15M
92,Tino Livramento,€37.2M
93,Gianluca Scamacca,€25.6M
94,Robert Sánchez,€23M
95,Ashley Phillips,€2.3M
96,Matheus França,€20M
97,Rasmus Højlund,€73.9M
98,Josko Gvardiol,€90M
99,Axel Disasi,€45M
100,Carlos Forbs,€14M
101,Matija Sarkic,€1.4M
102,Auston Trusty,€5.8M
103,Thomas Kaminski,€2.9M
104,Aaron Connolly,€1.4M
105,Harrison Parker,€0.8M
106,Braian Ojeda,€3.6M
107,Iliman Ndiaye,€17M
108,Mohammed Salisu,€15M
109,Lesley Ugochukwu,€27M
110,Fabinho,€46.7M
111,Stephy Mavididi,€7.5M
112,Allan Saint-Maximin,€27.2M
113,Karl Darlow,€0.4M
114,Ryan Giles,€5.9M
115,Calvin Bassey,€22.5M
116,Riyad Mahrez,€35M
117,Jordan Henderson,€14M
118,Igor,€16.2M
119,Adedire Mebude,€1.8M
120,Sam Surridge,€5.8M
121,Raúl Jiménez,€6.4M
122,Luca Koleosho,€3M
123,Anthony Elanga,€17.5M
124,Carlos Mendes,€0.3M
125,Harvey Barnes,€44M
126,Alex Telles,€4.6M
127,Bobby Thomas,€2.3M
128,Moussa Diaby,€55M
129,Reda Khadra,€1.9M
130,James Trafford,€17.3M
131,André Onana,€50.2M
132,Marvelous Nakamba,€2.9M
133,Milos Kerkez,€17.9M
134,Zeki Amdouni,€18.6M
135,Ethan Ampadu,€8.1M
136,Bénie Traoré,€4.6M
137,Mads Hermansen,€7.7M
138,Mads Bidstrup,€6M
139,Dion Sanderson,€2.3M
140,Halil Dervisoglu,€0.5M
141,Declan Rice,€116.6M
142,Yangel Herrera,€5M
143,Jurrien Timber,€40M
144,Tahith Chong,€4.7M
145,Anis Slimane,€2.7M
146,George Hirst,€1.8M
147,Romain Faivre,€15M
148,Christian Pulisic,€20M
149,Pau Torres,€33M
150,Shea Charles,€12.3M
151,Ishé Samuels-Smith,€4.7M
152,Ben Pearson,€1.5M
153,Morgan Rogers,€1.2M
154,Ellis Simms,€7M
155,Hayao Kawabe,€1.5M
156,Elijah Gift,€0.8M
157,Granit Xhaka,€15M
158,Mason Mount,€64.2M
159,Nathan Collins,€26.9M
160,Bart Verbruggen,€20M
161,Sandro Tonali,€64M
162,Dominik Szoboszlai,€70M
163,João Pedro,€34.2M
164,Alexis Mac Allister,€42M
165,Matheus Cunha,€50M
166,Harry Winks,€11.6M
167,Conor Coady,€8.7M
168,Ethan Laird,€0.9M
169,Nicolas Jackson,€37M
170,Ruben Loftus-Cheek,€18.5M
171,Kai Havertz,€75M
172,James Maddison,€46.3M
173,Edouard Mendy,€18.5M
174,Mislav Orsic,€2.4M
175,Guglielmo Vicario,€18.5M
176,Mateo Kovacic,€29.1M
177,Zidane Iqbal,€1M
178,Kalidou Koulibaly,€23M
179,Dara O'Shea,€7.8M
180,Justin Kluivert,€10.8M
181,Rúben Neves,€55M
182,Christopher Nkunku,€60M
183,Dejan Kulusevski,€30M
184,Yankuba Minteh,€8M
185,Kevin Schade,€25M
186,Niels Nkounkou,€2M
187,Mark Flekken,€13M
188,Michael Obafemi,€4M
189,Chris Wood,€17M
190,Jordan Beyer,€15M
191,Hamed Junior Traoré,€25.6M
192,Pablo Marí,€6.2M
193,Arthur Masuaku,€2M
194,Pedro Porro,€40M
195,Boubacar Traoré,€11M
196,Moise Kean,€30M
