Attribute,Type,Player,Value
Playing Time MP,Highest,André Onana,38.0
Playing Time MP,Highest,Bernd Leno,38.0
Playing Time MP,Highest,Carlton Morris,38.0
Playing Time MP,Lowest,Alex Iwobi,2.0
Playing Time MP,Lowest,Ionuț Radu,2.0
Playing Time MP,Lowest,Matheus Nunes,2.0
Playing Time Starts,Highest,André Onana,38.0
Playing Time Starts,Highest,Bernd Leno,38.0
Playing Time Starts,Highest,Guglielmo Vicario,38.0
Playing Time Starts,Lowest,David Ozoh,0.0
Playing Time Starts,Lowest,Ivan Perišić,0.0
Playing Time Starts,Lowest,Jesurun Rak Sakyi,0.0
Playing Time Min,Highest,André Onana,3420.0
Playing Time Min,Highest,Bernd Leno,3420.0
Playing Time Min,Highest,Guglielmo Vicario,3420.0
Playing Time Min,Lowest,John Fleck,92.0
Playing Time Min,Lowest,Kalvin Phillips,93.0
Playing Time Min,Lowest,Ivan Perišić,103.0
Playing Time 90s,Highest,André Onana,38.0
Playing Time 90s,Highest,Bernd Leno,38.0
Playing Time 90s,Highest,Guglielmo Vicario,38.0
Playing Time 90s,Lowest,John Fleck,1.0
Playing Time 90s,Lowest,Kalvin Phillips,1.0
Playing Time 90s,Lowest,Ivan Perišić,1.1
Performance Gls,Highest,Erling Haaland,27.0
Performance Gls,Highest,Cole Palmer,22.0
Performance Gls,Highest,Alexander Isak,21.0
Performance Gls,Lowest,Aaron Cresswell,0.0
Performance Gls,Lowest,Aaron Hickey,0.0
Performance Gls,Lowest,Aaron Ramsdale,0.0
Performance Ast,Highest,Ollie Watkins,13.0
Performance Ast,Highest,Cole Palmer,11.0
Performance Ast,Highest,Anthony Gordon,10.0
Performance Ast,Lowest,Aaron Cresswell,0.0
Performance Ast,Lowest,Aaron Hickey,0.0
Performance Ast,Lowest,Aaron Ramsdale,0.0
Performance G+A,Highest,Cole Palmer,33.0
Performance G+A,Highest,Erling Haaland,32.0
Performance G+A,Highest,Ollie Watkins,32.0
Performance G+A,Lowest,Aaron Cresswell,0.0
Performance G+A,Lowest,Aaron Hickey,0.0
Performance G+A,Lowest,Aaron Ramsdale,0.0
Performance G-PK,Highest,Erling Haaland,20.0
Performance G-PK,Highest,Ollie Watkins,19.0
Performance G-PK,Highest,Phil Foden,19.0
Performance G-PK,Lowest,Aaron Cresswell,0.0
Performance G-PK,Lowest,Aaron Hickey,0.0
Performance G-PK,Lowest,Aaron Ramsdale,0.0
Performance PK,Highest,Cole Palmer,9.0
Performance PK,Highest,Erling Haaland,7.0
Performance PK,Highest,Bukayo Saka,6.0
Performance PK,Lowest,Aaron Cresswell,0.0
Performance PK,Lowest,Aaron Hickey,0.0
Performance PK,Lowest,Aaron Ramsdale,0.0
Performance PKatt,Highest,Cole Palmer,9.0
Performance PKatt,Highest,Erling Haaland,8.0
Performance PKatt,Highest,Mohamed Salah,7.0
Performance PKatt,Lowest,Aaron Cresswell,0.0
Performance PKatt,Lowest,Aaron Hickey,0.0
Performance PKatt,Lowest,Aaron Ramsdale,0.0
Performance CrdY,Highest,João Palhinha,13.0
Performance CrdY,Highest,Marcos Senesi,13.0
Performance CrdY,Highest,Anthony Gordon,12.0
Performance CrdY,Lowest,Aaron Ramsdale,0.0
Performance CrdY,Lowest,Alex Iwobi,0.0
Performance CrdY,Lowest,Amari'i Bell,0.0
Performance CrdR,Highest,Oliver McBurnie,2.0
Performance CrdR,Highest,Reece James,2.0
Performance CrdR,Highest,Yves Bissouma,2.0
Performance CrdR,Lowest,Aaron Cresswell,0.0
Performance CrdR,Lowest,Aaron Hickey,0.0
Performance CrdR,Lowest,Aaron Ramsdale,0.0
Expected xG,Highest,Erling Haaland,29.2
Expected xG,Highest,Mohamed Salah,21.2
Expected xG,Highest,Alexander Isak,20.3
Expected xG,Lowest,Aaron Cresswell,0.0
Expected xG,Lowest,Aaron Ramsdale,0.0
Expected xG,Lowest,Alisson,0.0
Expected npxG,Highest,Erling Haaland,22.9
Expected npxG,Highest,Nicolas Jackson,18.6
Expected npxG,Highest,Dominic Solanke,17.2
Expected npxG,Lowest,Aaron Cresswell,0.0
Expected npxG,Lowest,Aaron Ramsdale,0.0
Expected npxG,Lowest,Alisson,0.0
Expected xAG,Highest,Bruno Fernandes,11.8
Expected xAG,Highest,Mohamed Salah,11.8
Expected xAG,Highest,Son Heung-min,11.8
Expected xAG,Lowest,Aaron Ramsdale,0.0
Expected xAG,Lowest,Alfie Gilchrist,0.0
Expected xAG,Lowest,Alisson,0.0
Expected npxG+xAG,Highest,Mohamed Salah,27.3
Expected npxG+xAG,Highest,Erling Haaland,27.2
Expected npxG+xAG,Highest,Ollie Watkins,24.2
Expected npxG+xAG,Lowest,Aaron Ramsdale,0.0
Expected npxG+xAG,Lowest,Alisson,0.0
Expected npxG+xAG,Lowest,Alphonse Areola,0.0
Progression PrgC,Highest,Jeremy Doku,218.0
Progression PrgC,Highest,Alejandro Garnacho,178.0
Progression PrgC,Highest,Bukayo Saka,155.0
Progression PrgC,Lowest,Aaron Ramsdale,0.0
Progression PrgC,Lowest,Alisson,0.0
Progression PrgC,Lowest,Alphonse Areola,0.0
Progression PrgP,Highest,Rodri,376.0
Progression PrgP,Highest,Martin Ødegaard,344.0
Progression PrgP,Highest,Pascal Groß,302.0
Progression PrgP,Lowest,Bernd Leno,0.0
Progression PrgP,Lowest,Daniel Bentley,0.0
Progression PrgP,Lowest,Dean Henderson,0.0
Progression PrgR,Highest,Bukayo Saka,508.0
Progression PrgR,Highest,Dejan Kulusevski,388.0
Progression PrgR,Highest,Gabriel Martinelli,345.0
Progression PrgR,Lowest,Aaron Ramsdale,0.0
Progression PrgR,Lowest,Alisson,0.0
Progression PrgR,Lowest,Alphonse Areola,0.0
Per 90 Minutes Gls,Highest,Sasa Kalajdzic,1.08
Per 90 Minutes Gls,Highest,Erling Haaland,0.95
Per 90 Minutes Gls,Highest,Jhon Durán,0.95
Per 90 Minutes Gls,Lowest,Aaron Cresswell,0.0
Per 90 Minutes Gls,Lowest,Aaron Hickey,0.0
Per 90 Minutes Gls,Lowest,Aaron Ramsdale,0.0
Per 90 Minutes Ast,Highest,Manor Solomon,0.9
Per 90 Minutes Ast,Highest,Ivan Perišić,0.87
Per 90 Minutes Ast,Highest,Kevin De Bruyne,0.74
